code,name,address,coordinates
11110175,숭인동,서울특별시 종로구 숭인동,POINT(37.5745280159937 127.019597569646)
11110176,교남동,서울특별시 종로구 교남동,POINT(37.5683831622413 126.964634002163)
11110177,평동,서울특별시 종로구 평동,POINT(37.5678972658597 126.966843743393)
11110178,송월동,서울특별시 종로구 송월동,POINT(37.5700627844638 126.9651946575)
11110179,홍파동,서울특별시 종로구 홍파동,POINT(37.5711327985698 126.963967103183)
11110180,교북동,서울특별시 종로구 교북동,POINT(37.5717842659121 126.96127267528)
11110181,행촌동,서울특별시 종로구 행촌동,POINT(37.5733270930886 126.962272567935)
11110182,구기동,서울특별시 종로구 구기동,POINT(37.6193739703885 126.959299756836)
11110183,평창동,서울특별시 종로구 평창동,POINT(37.6063916960376 126.968357810931)
11110184,부암동,서울특별시 종로구 부암동,POINT(37.5924142953538 126.964061015983)
11110185,홍지동,서울특별시 종로구 홍지동,POINT(37.6007910021228 126.956587544473)
11110186,신영동,서울특별시 종로구 신영동,POINT(37.6025046922759 126.961818449159)
11110187,무악동,서울특별시 종로구 무악동,POINT(37.5759854736855 126.958245677349)
11140101,무교동,서울특별시 중구 무교동,POINT(37.5681523321125 126.978995985222)
11140102,다동,서울특별시 중구 다동,POINT(37.5678932127318 126.981173875618)
11140103,태평로1가,서울특별시 중구 태평로1가,POINT(37.5677087157565 126.977234843742)
11140104,을지로1가,서울특별시 중구 을지로1가,POINT(37.5660118254225 126.980508795796)
11140105,을지로2가,서울특별시 중구 을지로2가,POINT(37.5658609834049 126.984004114817)
11140106,남대문로1가,서울특별시 중구 남대문로1가,POINT(37.5678610341137 126.982862710392)
11140107,삼각동,서울특별시 중구 삼각동,POINT(37.5680810670242 126.984225497316)
11140108,수하동,서울특별시 중구 수하동,POINT(37.5672666194383 126.984624102223)
11140109,장교동,서울특별시 중구 장교동,POINT(37.5672452661542 126.986865292475)
11140110,수표동,서울특별시 중구 수표동,POINT(37.5674509569575 126.989500354867)
11140111,소공동,서울특별시 중구 소공동,POINT(37.5638997702148 126.97979400965)
11140112,남창동,서울특별시 중구 남창동,POINT(37.5576969045759 126.977559311953)
11140113,북창동,서울특별시 중구 북창동,POINT(37.5622200000299 126.978042381175)
11140114,태평로2가,서울특별시 중구 태평로2가,POINT(37.5629837198074 126.976357967863)
11140115,남대문로2가,서울특별시 중구 남대문로2가,POINT(37.5636983086304 126.982030616216)
11140116,남대문로3가,서울특별시 중구 남대문로3가,POINT(37.5620113703841 126.980319690106)
11140117,남대문로4가,서울특별시 중구 남대문로4가,POINT(37.5601075547158 126.975457960662)
11140118,남대문로5가,서울특별시 중구 남대문로5가,POINT(37.5575773074594 126.97429533532)
11140119,봉래동1가,서울특별시 중구 봉래동1가,POINT(37.5595051345956 126.972922937607)
11140120,봉래동2가,서울특별시 중구 봉래동2가,POINT(37.556538587309 126.970968346946)
11140121,회현동1가,서울특별시 중구 회현동1가,POINT(37.5555892070291 126.981204133005)
11140122,회현동2가,서울특별시 중구 회현동2가,POINT(37.5587537703497 126.982919122029)
11140123,회현동3가,서울특별시 중구 회현동3가,POINT(37.5601522772217 126.984059661953)
11140124,충무로1가,서울특별시 중구 충무로1가,POINT(37.5614350253016 126.982162451405)
11140125,충무로2가,서울특별시 중구 충무로2가,POINT(37.5620485933126 126.989609769072)
11140126,명동1가,서울특별시 중구 명동1가,POINT(37.5642861263306 126.984638297227)
11140127,명동2가,서울특별시 중구 명동2가,POINT(37.5628878550789 126.98522714432)
11140128,남산동1가,서울특별시 중구 남산동1가,POINT(37.5593342411289 126.984580460713)
11140129,남산동2가,서울특별시 중구 남산동2가,POINT(37.5584190512113 126.986396022059)
11140130,남산동3가,서울특별시 중구 남산동3가,POINT(37.5607185451526 126.987762834453)
11140131,저동1가,서울특별시 중구 저동1가,POINT(37.5644126337617 126.987789395082)
11140132,충무로4가,서울특별시 중구 충무로4가,POINT(37.5622651534104 126.994327234401)
11140133,충무로5가,서울특별시 중구 충무로5가,POINT(37.5631302462416 126.99982795883)
11140134,인현동2가,서울특별시 중구 인현동2가,POINT(37.5642041704529 126.996124490655)
11140135,예관동,서울특별시 중구 예관동,POINT(37.5642150321273 126.998189014062)
11140136,묵정동,서울특별시 중구 묵정동,POINT(37.5614543921107 127.000371238419)
11140137,필동1가,서울특별시 중구 필동1가,POINT(37.561075732851 126.992453032787)
11140138,필동2가,서울특별시 중구 필동2가,POINT(37.5593207097698 126.994626250771)
11140139,필동3가,서울특별시 중구 필동3가,POINT(37.5584990846546 126.997003047238)
11140140,남학동,서울특별시 중구 남학동,POINT(37.5605530385661 126.990814223458)
11140141,주자동,서울특별시 중구 주자동,POINT(37.5606394146993 126.989388129589)
11140142,예장동,서울특별시 중구 예장동,POINT(37.5552118678547 126.990086044965)
11140143,장충동1가,서울특별시 중구 장충동1가,POINT(37.560654080316 127.007325089464)
11140144,장충동2가,서울특별시 중구 장충동2가,POINT(37.5550176670288 127.000602078813)
11140145,광희동1가,서울특별시 중구 광희동1가,POINT(37.5652239855073 127.006451724415)
11140146,광희동2가,서울특별시 중구 광희동2가,POINT(37.5639300318235 127.008407470182)
