category_id,level,parent_id,path,name,is_leaf
1,1,,/1/,여성의류,0
2,1,,/2/,남성의류,0
3,1,,/3/,신발,0
4,1,,/4/,가방/지갑,0
5,1,,/5/,시계,0
6,1,,/6/,쥬얼리,0
7,1,,/7/,패션 액세서리,0
8,1,,/8/,디지털,0
9,1,,/9/,가전제품,0
10,1,,/10/,스포츠/레저,0
11,1,,/11/,차량/오토바이,0
12,1,,/12/,스타굿즈,0
13,1,,/13/,키덜트,0
14,1,,/14/,예술/희귀/수집품,0
15,1,,/15/,음반/악기,0
16,1,,/16/,도서/티켓/문구,0
17,1,,/17/,뷰티/미용,0
18,1,,/18/,가구/인테리어,0
19,1,,/19/,생활/주방용품,0
20,1,,/20/,공구/산업용품,0
21,1,,/21/,식품,0
22,1,,/22/,유아동/출산,0
23,1,,/23/,반려동물용품,0
24,1,,/24/,기타,1
25,1,,/25/,재능,0
26,2,1,/1/26/,아우터,0
27,2,1,/1/27/,상의,0
28,2,1,/1/28/,바지,0
29,2,1,/1/29/,치마,0
30,2,1,/1/30/,원피스,0
31,2,1,/1/31/,점프수트,1
32,2,1,/1/32/,셋업/세트,0
33,2,1,/1/33/,언더웨어/홈웨어,0
34,2,1,/1/34/,테마/이벤트,0
35,2,2,/2/35/,아우터,0
36,2,2,/2/36/,상의,0
37,2,2,/2/37/,바지,0
38,2,2,/2/38/,점프수트,1
39,2,2,/2/39/,셋업/세트,0
40,2,2,/2/40/,언더웨어/홈웨어,0
41,2,2,/2/41/,테마/이벤트,0
42,2,3,/3/42/,스니커즈,1
43,2,3,/3/43/,남성화,0
44,2,3,/3/44/,여성화,0
45,2,3,/3/45/,스포츠화,0
46,2,4,/4/46/,여성가방,0
47,2,4,/4/47/,남성가방,0
48,2,4,/4/48/,여행용 가방,0
49,2,4,/4/49/,여성지갑,1
50,2,4,/4/50/,남성지갑,1
51,2,4,/4/51/,기타 지갑,1
